INDMusic Channel Report
September 2014
9LILG

Partner Views are: 2765397
Non-Ad Requested Views: 26405
Partner Revenue is: 5511.239074999999
Partner Ad Enabled Views are: 2738992
Partner Thousands of Ad Enabled Views: 2738.992
CPM: 2.0121413552869076
INDMusic Percentage: 0.1
Partner InDMusic Fee is: 551.1239074999999
Total Partner Earnings: 4960.115167499998

UGC Views are: 2014478
UGC Revenue is: 1632.0679429999989
UGC Ad Enabled Views are: 1599385
UGC Thousands of Ad Enabled Views: 1599.385
INDMusic Percentags: 0.1
UGC InDMusic Fee is: 163.2067942999999
Total UGC Earnings: 1468.861148699999

Total Channel Partner Payout: 6428.976316199997

videoId,claimType,claimOrigin,assetTitle,contentType,assetType,artist,album,isrc,customId,writer,channel,tViews,adViews,tEarnings
"13-hfI3Keic","Audio","Audio Match","Hopeless Boy Feat. David Ortiz","UGC",,"King Lil G","AK47Boyz","QMEBT1400801","9LILG",,,3,3,0
"13-hfI3Keic","Audio","Audio Match","Hopeless Boy Feat. David Ortiz","UGC",,"King Lil G","AK47Boyz","QMEBT1400801","9LILG",,,3,3,0
"1FbuyrwGQus","Audio","Audio Match","Sending This Message","UGC",,"Lil G","Blue Devil Part 2","USASN1200422","9LILG",,,1,1,0
"1Gj_3_4hr6k","Audio","Audio Match","Letter to Dr. Dre (feat. Big Swiisha)","UGC",,"Lil G","Blue Devil Part 2","USASN1200418","9LILG",,,8,8,0
"1Gj_3_4hr6k","Audio","Audio Match","Letter to Dr. Dre (feat. Big Swiisha)","UGC",,"Lil G","Blue Devil Part 2","USASN1200418","9LILG",,,3,0,0
"1MKuF0GRnx0","Audio","Audio Match","Delusional","UGC",,"King Lil G","AK47Boyz","QMEBT1400805","9LILG",,,7,7,0
"1NvfkBqFd8s","Audio","Audio Match","Do You Think of Me","UGC",,"King Lil G","Lost in Smoke","USASN1302111","9LILG",,,2,2,0
"1Pak6sRf_NU","Audio","Audio Match","AK47Boyz","UGC",,"King Lil G","AK47Boyz","QMEBT1400802","9LILG",,,140,140,0.047142
"1Pak6sRf_NU","Audio","Audio Match","AK47Boyz","UGC",,"King Lil G","AK47Boyz","QMEBT1400802","9LILG",,,140,140,0.047142
"1Pak6sRf_NU","Audio","Audio Match","AK47Boyz","UGC",,"King Lil G","AK47Boyz","QMEBT1400802","9LILG",,,20,0,0
"1QufIcBvbYk","Audio","Audio Match","El Stilo De Mafia","UGC",,"King Lil G","Lost in Smoke","USASN1302112","9LILG",,,10,10,0
"1TCD7sI6OW8","Audio","Audio Match","Real Life","UGC",,"Lil G","Blue Devil Part 2","USASN1200421","9LILG",,,20,20,0.003277
"1T_Z3CmvgRc","Audio","Audio Match","Letter to Dr. Dre (feat. Big Swiisha)","UGC",,"Lil G","Blue Devil Part 2","USASN1200418","9LILG",,,20,20,0
"1XoH3b32jyc","Audio","Audio Match","Narco Corridos","UGC",,"King Lil G","King Enemy","USASN1201240","9LILG",,,4,4,0
"1Yla3mgEeQc","Audio","Audio Match","Hopeless Boy Feat. David Ortiz","UGC",,"King Lil G","AK47Boyz","QMEBT1400801","9LILG",,,90,90,0.00027
"1Yla3mgEeQc","Audio","Audio Match","Hopeless Boy Feat. David Ortiz","UGC",,"King Lil G","AK47Boyz","QMEBT1400801","9LILG",,,90,90,0.00027
"1aT1n_wJOec","Audio","Audio Match","Killuminati Won't Save You","UGC",,"King Lil G","Lost in Smoke","USASN1302107","9LILG",,,8,8,0
"1aT1n_wJOec","Audio","Audio Match","Killuminati Won't Save You","UGC",,"King Lil G","Lost in Smoke","USASN1302107","9LILG",,,1,0,0
"1aUeQfw1Teg","Audio","Audio Match","AK47Boyz","UGC",,"King Lil G","AK47Boyz","QMEBT1400802","9LILG",,,17,17,0.000846
"1aUeQfw1Teg","Audio","Audio Match","AK47Boyz","UGC",,"King Lil G","AK47Boyz","QMEBT1400802","9LILG",,,2,0,0
"1auUz4lx1bU","Audio","Audio Match","Welcome to La","UGC",,"King Lil G","Lost in Smoke","USASN1302113","9LILG",,,15,15,0
"1auUz4lx1bU","Audio","Audio Match","Welcome to La","UGC",,"King Lil G","Lost in Smoke","USASN1302113","9LILG",,,2,0,0
