Asset ID,Identifier,Asset Type,Title,ISRCs,UPC,Custom ID,Labels,Time Created,Number of Claims,Approx Daily Views
A543508370971408,,Sound Recording,Not Waiting - Forest Sun,,,,,Mon Jan 12 07:47:22 PST 2015,0,0
A637209662428013,BPXTH7907527,Sound Recording,Audyssey_14392 - Audyssey,BPXTH7907527,BeatPick,,,Fri Dec 12 10:52:16 PST 2014,28,30
A813373730344730,,Sound Recording,"Steps 1-4, Explained (Instrumental) - Twelve(One)",,,,,Mon Jan 12 07:42:52 PST 2015,0,0
A422871156098163,,Sound Recording,In Perpetuum (instrumental) - In The Nursery,,,,,Tue Dec 16 07:16:40 PST 2014,6,2
A162293191434171,,Sound Recording,Percushula - Chris Hanlin,,,,,Mon Dec 15 07:26:02 PST 2014,0,0
A818293675869815,MRXTH7917067,Sound Recording,Pravda 546810 Gimme Gimme - Pravda,MRXTH7917067,Audio Masters,,,Fri Dec 19 23:20:07 PST 2014,0,2
A942407486382745,GBKPL1357889,Sound Recording,Flight of the Albatros - Michael Neil,GBKPL1357889,5055489276229,,,Thu Jan 08 22:29:35 PST 2015,39,50
A241502903259538,USTC60880993,Sound Recording,B N P B C One - Mud Sun,USTC60880993,859701031079,,,Tue Dec 16 14:01:20 PST 2014,1,1
A557942807181464,BPXTH7912837,Sound Recording,myself_15479 - myself,BPXTH7912837,BeatPick,,,Fri Dec 12 12:22:33 PST 2014,5,1
A412271735462469,,Sound Recording,Futur (instrumental) - In The Nursery,,,,,Tue Dec 16 07:17:31 PST 2014,1,0
A402875827552685,,Sound Recording,Pop 2 - Orange Factory Music,,,,,Tue Dec 16 07:49:26 PST 2014,32,4
A160727340870626,,Sound Recording,Home Base - Outhouse,,,,,Mon Dec 15 07:02:46 PST 2014,0,0
A860930378595119,BPXTH7907526,Sound Recording,Audyssey_14391 - Audyssey,BPXTH7907526,BeatPick,,,Fri Dec 12 11:49:34 PST 2014,50,70
A252585800771253,USTC70870522,Sound Recording,Positive Ground - David Ross Benson,USTC70870522,859701251781,,,Wed Dec 03 06:14:32 PST 2014,1,1
